I_tot,I_detected,t_first_detection,I_t_detection
1,1,6.1000000000000005,1.0
17,14,5.1000000000000005,2.0
2,1,7.1000000000000005,2.0
1,1,8.1,1.0
1,0,NaN,NaN
152,94,7.1000000000000005,10.0
166,91,9.1,18.0
2,2,7.1000000000000005,1.0
1,0,NaN,NaN
5,2,7.1000000000000005,2.0
1,0,NaN,NaN
1,1,11.100000000000001,1.0
182,117,7.1000000000000005,6.0
15,8,13.100000000000001,3.0
178,107,7.1000000000000005,6.0
1,1,4.1000000000000005,1.0
1,1,8.1,1.0
1,0,NaN,NaN
6,4,7.1000000000000005,6.0
3,3,8.1,1.0
1,1,8.1,1.0
1,1,5.1000000000000005,1.0
1,0,NaN,NaN
181,105,11.100000000000001,6.0
3,2,10.100000000000001,3.0
6,3,7.1000000000000005,3.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,8.1,1.0
128,72,13.100000000000001,12.0
154,88,9.1,15.0
172,106,5.1000000000000005,7.0
34,23,4.1000000000000005,2.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
1,1,4.1000000000000005,1.0
17,10,13.100000000000001,11.0
1,0,NaN,NaN
4,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,9.1,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,7.1000000000000005,1.0
193,126,7.1000000000000005,8.0
151,85,19.1,16.0
1,0,NaN,NaN
8,5,7.1000000000000005,3.0
19,6,19.1,4.0
185,110,14.100000000000001,42.0
2,2,8.1,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,7.1000000000000005,1.0
1,1,5.1000000000000005,1.0
1,1,5.1000000000000005,1.0
1,1,7.1000000000000005,1.0
160,107,3.1,2.0
1,0,NaN,NaN
1,0,NaN,NaN
16,8,14.100000000000001,7.0
2,1,8.1,2.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,5.1000000000000005,1.0
1,1,6.1000000000000005,1.0
7,3,6.1000000000000005,1.0
145,101,7.1000000000000005,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,9.1,1.0
1,1,7.1000000000000005,1.0
1,1,10.100000000000001,1.0
1,0,NaN,NaN
1,0,NaN,NaN
180,112,5.1000000000000005,2.0
1,0,NaN,NaN
153,103,6.1000000000000005,1.0
1,1,7.1000000000000005,1.0
165,99,8.1,26.0
1,1,3.1,1.0
1,1,6.1000000000000005,1.0
159,105,6.1000000000000005,1.0
1,0,NaN,NaN
8,3,4.1000000000000005,5.0
1,1,7.1000000000000005,1.0
1,0,NaN,NaN
176,116,5.1000000000000005,2.0
1,0,NaN,NaN
1,1,14.100000000000001,1.0
1,1,7.1000000000000005,1.0
1,0,NaN,NaN
1,0,NaN,NaN
25,16,6.1000000000000005,7.0
1,1,7.1000000000000005,1.0
11,6,6.1000000000000005,3.0
173,112,14.100000000000001,9.0
1,0,NaN,NaN
1,1,14.100000000000001,1.0
1,1,8.1,1.0
1,1,4.1000000000000005,1.0
1,1,5.1000000000000005,1.0
6,2,5.1000000000000005,2.0
163,79,8.1,10.0
119,83,11.100000000000001,16.0
171,105,10.100000000000001,18.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
1,1,8.1,1.0
178,110,14.100000000000001,14.0
4,4,7.1000000000000005,2.0
158,98,11.100000000000001,20.0
1,0,NaN,NaN
1,1,8.1,1.0
1,1,4.1000000000000005,1.0
1,0,NaN,NaN
1,1,6.1000000000000005,1.0
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
1,0,NaN,NaN
1,1,7.1000000000000005,1.0
1,1,3.1,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,1,3.1,1.0
1,1,10.100000000000001,1.0
1,1,7.1000000000000005,1.0
1,0,NaN,NaN
1,0,NaN,NaN
1,0,NaN,NaN
27,9,4.1000000000000005,3.0
165,106,4.1000000000000005,3.0
140,85,11.100000000000001,6.0
1,1,3.1,1.0
1,0,NaN,NaN
22,12,7.1000000000000005,1.0
1,1,10.100000000000001,1.0
1,1,14.100000000000001,1.0
1,0,NaN,NaN
1,1,8.1,1.0
1,1,6.1000000000000005,1.0
1,0,NaN,NaN
1,1,4.1000000000000005,1.0
1,0,NaN,NaN
1,0,NaN,NaN
163,99,9.1,20.0
