run_id,facility_id,n_residents,n_staff,total_FTE,index_case_type,t_first_detection,OB_declared,t_OB_on,t_OB_off,I_cum_OB_on,Det_cum_OB_on,F_max,Iso_max,I_tot_staff,Det_tot_staff,I_tot_res,Det_tot_res,FTE_def_max,sim_duration
3770,10000003,88,121,73.79999999999998,resident,5.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,10.100000000000001
3771,10000003,88,121,73.79999999999998,resident,4.1000000000000005,true,14.100000000000001,52.1,31,6,0,0,79,54,77,51,0.0,52.1
3772,10000003,88,121,73.79999999999998,resident,15.100000000000001,false,NaN,NaN,-1,-1,0,0,2,1,2,1,0.0,32.1
3773,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,10.100000000000001
3774,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,15.100000000000001
3775,10000003,88,121,73.79999999999998,worker,5.1000000000000005,true,21.1,NaN,24,8,0,0,86,50,77,45,0.0,90.10000000000001
3776,10000003,88,121,73.79999999999998,resident,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,14.100000000000001
3777,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,12.100000000000001
3778,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,11.100000000000001
3779,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,13.100000000000001
3780,10000003,88,121,73.79999999999998,resident,9.1,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,15.100000000000001
3781,10000003,88,121,73.79999999999998,resident,7.1000000000000005,true,8.1,64.10000000000001,9,3,0,0,99,60,79,50,0.0,64.10000000000001
3782,10000003,88,121,73.79999999999998,resident,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,11.100000000000001
3783,10000003,88,121,73.79999999999998,resident,5.1000000000000005,true,9.1,47.1,20,4,0,0,95,59,81,52,0.0,47.1
3784,10000003,88,121,73.79999999999998,resident,7.1000000000000005,true,10.100000000000001,50.1,25,4,0,0,97,75,80,48,0.0,50.1
3785,10000003,88,121,73.79999999999998,worker,17.1,false,NaN,NaN,-1,-1,0,0,2,1,0,0,0.0,25.1
3786,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,18.1
3787,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,10.100000000000001
3788,10000003,88,121,73.79999999999998,resident,4.1000000000000005,true,30.1,61.1,40,6,0,0,84,39,77,52,0.0,61.1
3789,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,13.100000000000001
3790,10000003,88,121,73.79999999999998,worker,7.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,15.100000000000001
3791,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,10.100000000000001
3792,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,12.100000000000001
3793,10000003,88,121,73.79999999999998,worker,7.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,8.1
3794,10000003,88,121,73.79999999999998,resident,22.1,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,28.1
3795,10000003,88,121,73.79999999999998,worker,9.1,true,15.100000000000001,44.1,39,4,0,0,101,58,82,54,0.0,44.1
3796,10000003,88,121,73.79999999999998,worker,8.1,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,17.1
3797,10000003,88,121,73.79999999999998,worker,15.100000000000001,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,17.1
3798,10000003,88,121,73.79999999999998,worker,13.100000000000001,false,NaN,NaN,-1,-1,0,0,2,1,1,1,0.0,19.1
3799,10000003,88,121,73.79999999999998,worker,5.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,11.100000000000001
3800,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,17.1
3801,10000003,88,121,73.79999999999998,resident,9.1,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,19.1
3802,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,12.100000000000001
3803,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,14.100000000000001
3804,10000003,88,121,73.79999999999998,resident,10.100000000000001,true,13.100000000000001,46.1,30,3,0,0,72,39,81,51,0.0,46.1
3805,10000003,88,121,73.79999999999998,worker,5.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,13.100000000000001
3806,10000003,88,121,73.79999999999998,worker,12.100000000000001,true,18.1,67.10000000000001,43,8,0,0,108,73,82,52,0.0,67.10000000000001
3807,10000003,88,121,73.79999999999998,worker,7.1000000000000005,true,15.100000000000001,60.1,25,4,0,0,94,52,79,56,0.0,60.1
3808,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,9.1
3809,10000003,88,121,73.79999999999998,worker,6.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,11.100000000000001
3810,10000003,88,121,73.79999999999998,resident,5.1000000000000005,true,12.100000000000001,70.10000000000001,9,4,0,0,106,65,84,57,0.0,70.10000000000001
3811,10000003,88,121,73.79999999999998,resident,5.1000000000000005,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,11.100000000000001
3812,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,18.1
3813,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,16.1
3814,10000003,88,121,73.79999999999998,resident,15.100000000000001,true,17.1,57.1,21,3,0,0,100,67,83,56,0.0,57.1
3815,10000003,88,121,73.79999999999998,resident,8.1,false,NaN,NaN,-1,-1,0,0,0,0,1,1,0.0,15.100000000000001
3816,10000003,88,121,73.79999999999998,worker,5.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,13.100000000000001
3817,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,15.100000000000001
3818,10000003,88,121,73.79999999999998,worker,8.1,true,11.100000000000001,66.10000000000001,35,9,0,0,83,52,79,53,0.0,66.10000000000001
3819,10000003,88,121,73.79999999999998,worker,10.100000000000001,true,14.100000000000001,52.1,57,8,0,0,109,65,85,49,0.0,52.1
3820,10000003,88,121,73.79999999999998,worker,NaN,false,NaN,NaN,-1,-1,0,0,1,0,0,0,0.0,13.100000000000001
3821,10000003,88,121,73.79999999999998,resident,NaN,false,NaN,NaN,-1,-1,0,0,0,0,1,0,0.0,9.1
3822,10000003,88,121,73.79999999999998,worker,7.1000000000000005,false,NaN,NaN,-1,-1,0,0,1,1,0,0,0.0,14.100000000000001
